code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,interest_bearing_debt,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow,value_lt_15
sh.600211,西藏药业,1999-07-21,C27医药制造业,https://www.xzyy.cn,"322,319,196","13,089,382,400",40.61,13.955326,3.445906,22.67%,2.91,11.785,"2,327,466,495.94","800,268,908.69","841,342,080",94%,"916,980,955.72","1,839,152,265.06","74,080,120.0","1,004,750,805.92","-589,074,355.04","-122,623,161.06",1
sh.600212,绿能慧充,1999-08-17,C38电气机械和器材制造业,https://www.gresgying.com,"704,150,213","5,238,877,696",7.44,186.0,9.405815,5.44%,0.04,0.791,"333,354,574.25","70,101,822.17","238,946,976",27%,"14,404,288.48","240,248,139.03","54,027,714.85","-48,188,043.91","-51,465,242.78","-52,206,672.99",0
sh.600215,派斯林,1999-09-09,C34通用设备制造业,https://www.paslin.cn,"456,882,880","3,093,097,216",6.77,,1.5223746,-5.25%,-0.23,4.447,"168,517,430.2","198,678,239.62","960,837,376",15%,"64,431,326.35","167,531,872.13","27,493,690.69","-54,866,596.78","169,152,930.2","18,069,497.72",0
sh.600216,浙江医药,1999-10-21,C27医药制造业,https://www.zmc.top,"961,637,750","15,136,178,176",15.74,12.107693,1.3496827,10.34%,1.3,11.662,"1,965,821,411.06","270,281,100.0","953,192,064",42%,"1,020,251,510.18","2,460,455,907.06","749,353,351.93","1,223,298,641.95","-473,499,869.58","-255,320,876.26",1
sh.600217,中再资环,1999-12-16,C42废弃资源综合利用业,https://www.zhongzaizihuan.com,"1,657,653,673","6,348,813,312",3.83,,2.0658038,-13.05%,-0.25,1.854,"884,917,549.83","1,012,739,058.34","3,096,473,088",8%,"16,154,918.94","85,861,438.99","2,012,083.76","348,848,599.54","-357,550,216.4","69,717,446.21",0
sh.600218,全柴动力,1998-12-03,C34通用设备制造业,https://www.quanchai.com.cn,"435,599,919","4,138,199,040",9.5,45.2381,1.2717537,2.68%,0.21,7.47,"724,171,430.17","343,000.0","64,949,004",10%,"80,230,131.83","315,866,889.56","163,914,999.81","67,836,219.96","-168,167,465.82","-35,426,465.96",0
sh.600222,太龙药业,1999-11-05,C27医药制造业,https://www.taloph.com,"573,886,283","4,068,853,760",7.09,88.62501,2.460951,3.31%,0.08,2.881,"180,039,805.83","663,421,454.18","924,761,024",26%,"53,495,468.69","410,575,214.73","100,890,903.52","-39,585,718.76","18,250,955.27","-9,775,846.35",0
sh.600223,福瑞达,2000-01-13,C26化学原料和化学制品制造业,https://www.lshfreda.com,"1,016,568,775","6,821,176,320",6.71,31.952383,1.6290362,5.50%,0.21,4.119,"2,947,718,857.86","212,116,144.16","200,073,008",53%,"296,441,693.83","1,820,671,599.69","166,768,116.18","228,653,003.85","2,992,686,155.68","-2,105,535,392.83",1
sh.600226,亨通股份,1999-11-16,D44电力、热力生产和供应业,https://www.zjhtkg.com,"2,974,381,224","14,336,518,144",4.82,80.333336,3.9670782,5.43%,0.06,1.215,"635,257,913.09",,"631,106,560",12%,"165,553,774.28","119,181,379.66","40,764,750.5","-31,307,837.15","-93,740,746.96","38,150,718.09",0
sh.600227,赤天化,2000-02-21,C26化学原料和化学制品制造业,https://www.gzsjt.com,"1,688,727,685","7,210,867,200",4.27,,2.9985955,-8.16%,-0.12,1.424,"345,938,195.46","440,186,346.57","1,135,602,944",10%,"-86,693,483.48","222,469,828.52","81,484,615.2","376,973,114.92","-165,541,493.18","-236,352,075.17",
sh.600228,*ST返利,1999-01-19,I64互联网和相关服务,https://corp.fanli.com,"416,672,427","2,250,031,104",5.4,,5.4435487,-11.53%,-0.12,0.992,"406,607,449.93",,"6,597,954",48%,"-11,668,904.81","130,734,016.76","30,423,803.15","-2,188,947.06","27,897,350.64","-20,532,061.61",
sh.600229,城市传媒,2000-03-09,R86新闻和出版业,https://www.citymedia.cn,"660,707,784","3,951,032,576",5.98,,1.2484343,-0.45%,-0.02,4.79,"1,252,278,950.76",,"10,050,859",28%,"86,230,050.42","509,024,036.39","9,971,757.54","120,143,601.33","2,727,856.19","-191,697,693.69",0
sh.600230,沧州大化,2000-04-06,C26化学原料和化学制品制造业,https://www.czdh.chemchina.com,"413,961,015","7,621,022,208",18.41,131.5,1.8940328,1.29%,0.14,9.72,"427,833,433.36",,"381,479,616",6%,"32,509,641.77","284,166,699.6","155,746,612.19","409,773,855.65","118,476,340.76","-282,188,376.11",0
sh.600231,凌钢股份,2000-05-11,C31黑色金属冶炼和压延加工业,https://www.lggf.com.cn,"2,849,624,158","5,813,233,152",2.04,,1.2028302,-21.54%,-0.41,1.696,"1,325,856,807.1","300,000,000.0","4,238,238,720",-6%,"-1,678,456,854.55","535,093,515.11","9,867,834.72","-980,036,190.48","-898,269,670.08","1,025,037,031.61",
sh.600232,金鹰股份,2000-06-02,C17纺织业,https://www.cn-goldeneagle.com,"364,718,544","2,895,865,088",7.94,,3.0822983,-2.61%,-0.06,2.576,"278,081,169.72","274,019,947.61","366,750,464",18%,"29,057,732.83","126,231,575.01","29,597,660.7","-53,472,606.87","8,147,567.7","60,351,289.78",0
sh.600234,科新发展,2000-06-15,E50建筑装饰、装修和其他建筑业,https://www.600234.net,"262,520,973","4,016,570,880",15.3,69.545456,8.031496,12.19%,0.22,1.905,"61,110,222.74",,"13,500,671",15%,"40,427,454.69","32,300,841.53",,"-12,353,998.83",907.99,"-1,353,328.07",0
